strategy,status,avg_hold_min,best_trade_pct,losses,max_drawdown_pct,profit_factor,sharpe_ratio,total_pnl_usd,total_return_pct,total_trades,win_rate_pct,wins,worst_trade_pct,wr_ci_lower_pct
consecutive_down_reversal,TESTED,6.5,0.6,1307,40.93,0.256,-0.06,-4093.24,-40.93,2015,35.14,708,-1.54,33.07
consolidation_breakout,TESTED,16.0,4.03,3863,49.62,0.5507,-2.21,-4961.68,-49.62,5797,33.36,1934,-1.72,32.16
copy_trading_with_sma_trend_filter,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
cricket_ipl_psl_stink_bid_bot,TESTED,20.0,4.53,3652,45.4,0.6248,2.44,-4535.78,-45.36,6057,39.71,2405,-2.46,38.48
cross_exchange_delta_neutral_arbitrage,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
dca_pop,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
direction_strength_speed_to_fill_scalpin,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
dual_sma_trend_following_with_pullback_e,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
edge_market_time_arbitrage,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
end_of_period_close_bot,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
gap_go_uo,INSUFFICIENT_VOLUME,,,,,,,,,5,,,,
gradual_position_exit,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
graduated_position_sizing,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
hidden_markov_model_regime_detection,TESTED,20.0,3.39,5589,52.33,0.54,-2.56,-5228.91,-52.29,8688,35.67,3099,-2.16,34.67
housecoin_100x_smart_accumulation_bot,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
intraday_bollinger_with_adx_confirmation,TESTED,20.0,3.15,3728,47.34,0.6089,-0.42,-4734.11,-47.34,5730,34.94,2002,-1.78,33.71
intraday_parabolic_short,TESTED,20.0,4.53,3652,45.4,0.6248,2.44,-4535.78,-45.36,6057,39.71,2405,-2.46,38.48
iv_surface_reconstruction,TESTED,20.0,3.15,3988,53.61,0.5265,-3.17,-5361.21,-53.61,6053,34.12,2065,-2.45,32.93
kalman_bb_breakout,TESTED,24.0,2.67,1691,46.97,0.6044,-0.54,-4697.08,-46.97,2631,35.73,940,-2.7,33.91
kalman_filter_enhancement_layer,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
kalshi_whale_scanner,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
macd_6_25_high_threshold_momentum,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
macd_ema_crossover,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
