strategy,status,avg_hold_min,best_trade_pct,losses,max_drawdown_pct,profit_factor,sharpe_ratio,total_pnl_usd,total_return_pct,total_trades,win_rate_pct,wins,worst_trade_pct,wr_ci_lower_pct
mean_reversion_bot,TESTED,20.0,1.34,720,31.7,0.5133,2.7,-3148.33,-31.48,1162,38.04,442,-1.95,35.28
mean_reversion_market_maker,TESTED,20.0,1.34,720,31.7,0.5133,2.7,-3148.33,-31.48,1162,38.04,442,-1.95,35.28
mean_reversion_multi_timeframe,TESTED,20.0,1.8,779,36.2,0.4637,-2.46,-3604.18,-36.04,1162,32.96,383,-1.34,30.3
mtf_mean_reversion,TESTED,24.0,1.63,496,25.21,0.45,-2.54,-2520.66,-25.21,735,32.52,239,-1.12,29.2
multi_timeframe_mean_reversion,TESTED,20.0,1.8,779,36.2,0.4637,-2.46,-3604.18,-36.04,1162,32.96,383,-1.34,30.3
nba_first_half_stink_bid_bot,TESTED,20.0,1.34,720,31.7,0.5133,2.7,-3148.33,-31.48,1162,38.04,442,-1.95,35.28
no_fade_whale_bot,TESTED,20.0,1.34,720,31.7,0.5133,2.7,-3148.33,-31.48,1162,38.04,442,-1.95,35.28
obv_capitulation_divergence,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
ofi_machine_learning_binary_classifier,TESTED,20.0,1.8,1087,42.32,0.466,-1.45,-4150.19,-41.5,1674,35.07,587,-1.37,32.81
optimized_sma_pullback,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
